"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"OD114","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD193","0","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD117","Vacant","SCS1","Director Benefits & Credits Operations","Director Benefits & Credits Operations","HM Revenue and Customs","HM Revenue and Customs","Customer Services","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 01/08/2025","1.00"
"OD121","N/D","SCS1","Deputy Director Making Tax Digital – Data","Deputy Director Making Tax Digital – Data","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD151","1177187","1.00","N/A","N/A","","Project Delivery Profession","North West","nan","1.00"
"OD122","N/D","SCS1","Deputy Director  Making Tax Digital – Change Readiness","Deputy Director  Making Tax Digital – Change Readiness","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD151","2433888","1.00","N/A","N/A","","Project Delivery Profession","Scotland","nan","1.00"
"OD127","N/D","SCS1","DD Financial Products & Services Team","DD Financial Products & Services Team","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","1798704","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD131","N/D","SCS1","Deputy Director – Corporation Tax Innovation and Growth","Deputy Director – Corporation Tax Innovation and Growth","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","2369545","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD133","N/D","SCS1","Head of International Relations & Capability Building","Head of International Relations & Capability Building","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","3849227","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD136","Jon Sherman","SCS2","Director for Business , Assets & International","Director for Business , Assets & International","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","2207859","0.60","115000","115000","","Government Tax Profession","London","Jobshare","1.00"
"OD136","Elizabeth Arnold","SCS2","Director for Business , Assets & International","Director for Business , Assets & International","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","2207859","1.00","110000","110000","","Government Tax Profession","London","Jobshare","1.00"
"OD137","N/D","SCS1","Deputy Director - Customs International","Deputy Director - Customs International","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","1777280","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD140","N/D","SCS1","Deputy Director CT Structure","Deputy Director CT Structure","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","2985038","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD141","N/D","SCS1","DD International Tax Policy & Structure","DD International Tax Policy & Structure","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","1658304","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD143","N/D","SCS1","Head of Business Profits","Head of Business Profits","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","2003653","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD144","N/D","SCS1","Deputy Director Transfer Pricing","Deputy Director Transfer Pricing","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","2614329","1.00","N/A","N/A","","Government Tax Profession","West Midlands","nan","1.00"
"OD146","Vacant","SCS1","Head of Customer Design and Journey Team","Head of Customer Design and Journey Team","HM Revenue and Customs","HM Revenue and Customs","Enterprise Transformation Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 22/12/2025","1.00"
"OD148","N/D","SCS1","Deputy Director Strategy Development","Deputy Director Strategy Development","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD606","2046730","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD151","Craig Ogilvie","SCS2","Programme Director - Making Tax Digital (Business)","Programme Director - Making Tax Digital (Business)","HM Revenue and Customs","HM Revenue and Customs","Change Delivery Group","0300 200 3300","contactUs@hmrc.gov.uk","OD989","648201","1.00","115000","115000","","Project Delivery Profession","Scotland","nan","1.00"
"OD153","N/D","SCS1","Deputy Director Customer Journey","Deputy Director Customer Journey","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD230","3384221","1.00","N/A","N/A","","Operational Delivery Profession","Scotland","nan","1.00"
"OD155","N/D","SCS1","Deputy Director for Excise & Environmental Taxes (Delivery)","Deputy Director for Excise & Environmental Taxes (Delivery)","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD722","3067317","1.00","N/A","N/A","","Government Tax Profession","North West","nan","1.00"
"OD159","N/D","SCS1","Deputy Director Classification, Origin, Valuation & Tariff","Deputy Director Classification, Origin, Valuation & Tariff","HM Revenue and Customs","HM Revenue and Customs","Borders & Trade","0300 200 3300","contactUs@hmrc.gov.uk","OD618","4720250","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD162","N/D","SCS1","Head of Stamp Taxes","Head of Stamp Taxes","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD136","1148087","1.00","N/A","N/A","","Government Tax Profession","West Midlands","nan","1.00"
"OD163","N/D","SCS1","Deputy Director for Excise & Environmental Taxes (Design)","Deputy Director for Excise & Environmental Taxes (Design)","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD722","3070418","1.00","N/A","N/A","","Policy Profession","North West","nan","1.00"
"OD164","N/D","SCS1","Customer Strategy and Tax Design Finance","Customer Strategy and Tax Design Finance","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD109","2664947","1.00","N/A","N/A","","Government Finance Profession","London","nan","1.00"
"OD165","N/D","SCS1","HR Director Human Resources & Comms","HR Director Human Resources & Comms","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","782143","0.80","N/A","N/A","","Human Resources Profession","London","nan","1.00"
"OD167","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD193","0","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD170","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD193","0","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD172","N/D","SCS1","Head of Function – Transformation & Change","Head of Function – Transformation & Change","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD185","1577692","1.00","N/A","N/A","","Government Tax Profession","North East","nan","1.00"
"OD174","N/D","SCS1","DD Large Business Compliance London","DD Large Business Compliance London","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD193","0","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD175","N/D","SCS1","DD Large Business Compliance Scotland and Northern Ireland","DD Large Business Compliance Scotland and Northern Ireland","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD532","0","1.00","N/A","N/A","","Government Tax Profession","Scotland","nan","1.00"
"OD176","Vacant","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 10/03/2026","1.00"
"OD177","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD220","0","1.00","N/A","N/A","","Government Tax Profession","South West","nan","1.00"
"OD178","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD206","0","1.00","N/A","N/A","","Government Tax Profession","North West","nan","1.00"
"OD180","Vacant","SCS1","LB Deputy Director Midlands","LB Deputy Director Midlands","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 01/04/2026","1.00"
"OD181","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD206","355630","1.00","N/A","N/A","","Government Tax Profession","North West","Jobshare","1.00"
"OD181","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD206","355630","0.49","N/A","N/A","","Government Tax Profession","North West","Jobshare","1.00"
"OD182","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1156","0","1.00","N/A","N/A","","Government Tax Profession","West Midlands","nan","1.00"
"OD184","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD206","0","1.00","N/A","N/A","","Government Tax Profession","North West","nan","1.00"
"OD185","N/D","SCS1","Deputy Director LB National Compliance","Deputy Director LB National Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","3935285","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD188","N/D","SCS1","DD for LB People, Performance & Change","DD for LB People, Performance & Change","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","0","1.00","N/A","N/A","","Government Tax Profession","Northern Ireland","nan","1.00"
"OD189","N/D","SCS1","Deputy Director – Large Business North East & Yorkshire","Deputy Director – Large Business North East & Yorkshire","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","23059222","0.86","N/A","N/A","","Government Tax Profession","Yorkshire and The Humber","nan","1.00"
"OD190","Vacant","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 19/11/2025","1.00"
"OD192","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD532","0","1.00","N/A","N/A","","Government Tax Profession","Northern Ireland","nan","1.00"
"OD193","N/D","SCS1","Deputy Director Large Business London","Deputy Director Large Business London","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","20698728","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD194","Vacant","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 01/04/2026","1.00"
"OD196","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD189","0","1.00","N/A","N/A","","Government Tax Profession","North East","nan","1.00"
"OD197","N/D","SCS1","Deputy Director Large Business Compliance","Deputy Director Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD220","0","1.00","N/A","N/A","","Government Tax Profession","South West","nan","1.00"
"OD198","Vacant","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 19/11/2025","1.00"
"OD199","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD220","0","0.80","N/A","N/A","","Government Tax Profession","South West","nan","1.00"
"OD200","Vacant","SCS1","Deputy Director -  Large Business Digital, Change & Anyaltics","Deputy Director -  Large Business Digital, Change & Anyaltics","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 22/12/2025","1.00"
"OD203","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD189","0","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1.00"
"OD204","Nicole Newbury","SCS2","Director Large Business","Director Large Business","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD106","994720","1.00","115000","115000","","Government Tax Profession","West Midlands","nan","1.00"
"OD206","N/D","SCS1","Large Business North West - Deputy Director","Large Business North West - Deputy Director","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","18822813","1.00","N/A","N/A","","Government Tax Profession","North West","nan","1.00"
"OD207","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD193","0","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD208","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1156","0","1.00","N/A","N/A","","Government Tax Profession","East Midlands","nan","1.00"
"OD209","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1156","0","1.00","N/A","N/A","","Government Tax Profession","West Midlands","nan","1.00"
"OD214","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD532","0","0.81","N/A","N/A","","Government Tax Profession","Scotland","nan","1.00"
"OD219","N/D","SCS1","Deputy Director Head of Function Large Business Compliance Policy and Strategy","Deputy Director Head of Function Large Business Compliance Policy and Strategy","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD185","2505589","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD220","N/D","SCS1","Deputy Director - Large Business South & Wales","Deputy Director - Large Business South & Wales","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD204","20335224","1.00","N/A","N/A","","Government Tax Profession","South West","nan","1.00"
"OD221","N/D","SCS1","DD Large Business Compliance","DD Large Business Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD532","0","1.00","N/A","N/A","","Government Tax Profession","Scotland","nan","1.00"
"OD226","N/D","SCS1","Deputy Director for VAT Principles & Risk","Deputy Director for VAT Principles & Risk","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD722","2573720","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD227","Eliminated","SCS1","Deputy Director Capabilities Owner: Create and Maintain Master Customer Records","Deputy Director Capabilities Owner: Create and Maintain Master Customer Records","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post eliminated from 09/01/2026","1.00"
"OD229","N/D","SCS1","Deputy Director of VAT Fraud & Transition Readiness","Deputy Director of VAT Fraud & Transition Readiness","HM Revenue and Customs","HM Revenue and Customs","Customer Strategy & Tax Design","0300 200 3300","contactUs@hmrc.gov.uk","OD722","1685270","1.00","N/A","N/A","","Policy Profession","London","nan","1.00"
"OD230","Claire Walsh","SCS2","Director Customer Insight & Design Directorate","Director Customer Insight & Design Directorate","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD103","3555775","1.00","115000","115000","","Policy Profession","London","nan","1.00"
"OD234","N/D","SCS1","Deputy Director Customer Understanding and Behaviour (CUB)","Deputy Director Customer Understanding and Behaviour (CUB)","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD230","4299186","1.00","N/A","N/A","","Operational Delivery Profession","Yorkshire and The Humber","nan","1.00"
"OD240","N/D","SCS1","Deputy Director, Commercial- Head of Business Services","Deputy Director, Commercial- Head of Business Services","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD105","0","0.49","N/A","N/A","","Government Economic Service","Yorkshire and The Humber","nan","1.00"
"OD244","N/D","SCS1","Deputy Director, Design & User Experience","Deputy Director, Design & User Experience","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1041","2083704","1.00","N/A","N/A","","Government Property Profession","East Midlands","nan","1.00"
"OD249","N/D","SCS1","Deputy Director Government Banking","Deputy Director Government Banking","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD105","2522463","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD251","Vacant","SCS1","Director CFO Finance, Performance & Risk","Director CFO Finance, Performance & Risk","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 07/10/2025","1.00"
"OD252","Bobby Chatterjee","SCS2","Director People Design & Services","Director People Design & Services","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD108","956224","1.00","115000","115000","","Human Resources Profession","London","nan","1.00"
"OD253","N/D","SCS1","Deputy Director, Strategic Finance","Deputy Director, Strategic Finance","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD794","1587630","1.00","N/A","N/A","","Government Finance Profession","London","nan","1.00"
"OD254","N/D","SCS1","Deputy Director, Corporate Strategy","Deputy Director, Corporate Strategy","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD794","814407","0.70","N/A","N/A","","Government Economic Service","London","Jobshare","1.00"
"OD254","N/D","SCS1","Deputy Director, Corporate Strategy","Deputy Director, Corporate Strategy","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD794","814407","0.70","N/A","N/A","","Government Economic Service","London","Jobshare","1.00"
"OD255","N/D","SCS1","DD Performance & Change","DD Performance & Change","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD937","2791214","0.92","N/A","N/A","","Government Finance Profession","South East","nan","1.00"
"OD256","Tim Addison","SCS2","Director Internal Audit","Director Internal Audit","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD105","173806","1.00","120000","120000","","Internal Audit Profession","North West","Reporting To Costs Escalated to OD105","1.00"
"OD259","Andrew Pemberton","SCS2","Director of Communications","Director of Communications","HM Revenue and Customs","HM Revenue and Customs","HMRC Communications","0300 200 3300","contactUs@hmrc.gov.uk","OD101","1568230","1.00","150000","150000","","Government Communication Service","East Midlands","nan","1.00"
"OD260","N/D","SCS1","Head of Internal & Change Communications","Head of Internal & Change Communications","HM Revenue and Customs","HM Revenue and Customs","HMRC Communications","0300 200 3300","contactUs@hmrc.gov.uk","OD259","4300624","1.00","N/A","N/A","","Government Communication Service","London","nan","1.00"
"OD261","N/D","SCS1","Head of Communications for Customer Service","Head of Communications for Customer Service","HM Revenue and Customs","HM Revenue and Customs","HMRC Communications","0300 200 3300","contactUs@hmrc.gov.uk","OD259","1332004","1.00","N/A","N/A","","Government Communication Service","London","nan","1.00"
"OD262","Vacant","SCS1","Director of Strategy, Inclusion & Employee Deal","Director of Strategy, Inclusion & Employee Deal","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 07/10/2025","1.00"
"OD263","Vacant","SCS1","DD Employee Relations","DD Employee Relations","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 07/10/2025","1.00"
"OD265","Vacant","SCS1","Head of Strategic Workforce Planning & Transformation","Head of Strategic Workforce Planning & Transformation","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 16/02/2026","1.00"
"OD266","N/D","SCS1","Director Resourcing, Capability & Workforce Delivery","Director Resourcing, Capability & Workforce Delivery","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD990T","2175721","0.95","N/A","N/A","","Human Resources Profession","London","nan","1.00"
"OD267","N/D","SCS1","Deputy Director Learning Transformation","Deputy Director Learning Transformation","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD990T","3129637","1.00","N/A","N/A","","Human Resources Profession","North West","nan","1.00"
"OD268","N/D","SCS1","Deputy Director Leadership Development","Deputy Director Leadership Development","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD990T","1472133","1.00","N/A","N/A","","Human Resources Profession","East Midlands","nan","1.00"
"OD269","N/D","SCS1","Deputy Director, Future Workforce Design & Effectiveness","Deputy Director, Future Workforce Design & Effectiveness","HM Revenue and Customs","HM Revenue and Customs","People and Place Group","0300 200 3300","contactUs@hmrc.gov.uk","OD1141","1118914","1.00","N/A","N/A","","Human Resources Profession","East Midlands","nan","1.00"
"OD273","Andy Leggett","SCS2","Director Risk & Intelligence Service","Director Risk & Intelligence Service","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD106","1346086","1.00","115000","115000","","Operational Delivery Profession","North West","nan","1.00"
"OD276","Richard Las","SCS2","Director Fraud Investigation Service","Director Fraud Investigation Service","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD106","19818712","1.00","115000","115000","","Operational Delivery Profession","London","nan","1.00"
"OD277","Jamie Miller","SCS2","Director Debt Management","Director Debt Management","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD103","3550616","1.00","100000","100000","","Policy Profession","North West","nan","1.00"
